Course Number,Course Title,Description,Terms Offered,Equivalent Courses,Prerequisites,Instructors
ANTH 20100,The Inca And Aztec States. 100 Units.,"This course is an intensive examination of the origins, structure, and meaning of two native states of the ancient Americas: the Inca and the Aztec. Lectures and discussions are framed around an examination of theories of state genesis, function, and transformation, with special reference to the economic, institutional, symbolic, and religious bases of indigenous state development. This course is broadly comparative in perspective and considers the structural significance of institutional features that are either common to or unique expressions of these two Native American states. Finally, we consider the causes and consequences of the Spanish conquest of the Americas, and the continuing impact of the European colonial order that was imposed on and to which the Native populations adapted with different degrees of success over the course of the 16th century.",,"LACS 20100, LACS 40305, ANTH 40100",,Alan Kolata
ANTH 20122,Mesopotamian Archaeology II: States to Empires. 100 Units.,"This course explores the archaeology of the states and empires of Mesopotamia during the early 2nd through mid-1st millennia BC. We begin with the Old Babylonian and Old Assyrian territorial states and end with the collapse of the Neo-Assyrian empire and the takeover of the Neo-Babylonian empire by the Persians in the mid 1st millennium BC, which marks the end of ""Mesopotamian"" culture. During these centuries, the region saw many political changes, developing from a network of expansive territorial states to massive hegemonic empires. But political developments also included retraction of states and two large-scale political collapses, in part driven by climate change. These millennia in Mesopotamia are also marked by internationalism in both archaeology and politics; trade, elite communication and conquest all affected the material culture of the sub-regions of the ancient Near East. Additional topics include the archaeological evidence (or lack of it) for ethnic groups known from textual sources, symbolism and hybridization in artworks, organic versus artificial settlements and landscapes, and the archaeological signatures of empire. The geographic focus encompasses northern and southern Mesopotamia (approximately the modern countries of Iraq and Syria); reference will also be made to southeast Anatolia (Türkiye) and the eastern Mediterranean.",Autumn,"NEAA 20122, ANTH 30122, NEAA 30122",NEAA 20001,"McMahon, Augusta"
ANTH 20154,"Class, Race and Urban Space: producing the city. 100 Units.","Class and race are through lines in the determinative processes that produce and transform urban space and inform conceptual models of urban growth and change. This lecture course examines historical geographies of class and race relations in crucial arenas of urban life like employment, housing, public space and urgently during the contemporary era, climate change. A recurring theme we will explore is how Chicago's experience has shaped the field of urban studies across a range of thematic and conceptual domains.",Autumn,"CHST 20154, CEGU 20154, ENST 20154, RDIN 20154",,Mary Beth Pudup
ANTH 20200,Research Practicum for Undergraduates. 100 Units.,"This course is designed for third-year anthropology majors and minors who are planning summer research ahead of completing an honor's thesis in their fourth year. Students will learn best practices in research design for ethnographic, archaeological, and archival projects, receive guidance on developing their proposal and methodology, as well as applications for funding and IRB approval. The course will entail a mixture of in-person class time and in-field practicum assignments, with priority given to the latter. Students in allied fields or those planning other types of independent research may be considered depending on enrollment.",,,,
ANTH 20401,Anthropology of Healing. 100 Units.,"In our world marked by pandemics, stress, chronic illness, and cancers, healing is a primary concern, with people around the world experimenting with disparate techniques, from psychotherapy to psychedelics, to energy therapies and others. In this course we will rethink what it means to heal and to disease, reimagining healing as a practice that is deeply implicated in the ways in which we come to know, inhabit, and story the world. If we imagine our contemporary forms of life, entangled as they are, in legacies of colonial violence, capitalism, and ecological disaster, as ongoing sources of collective disease; how then do we re-entangle our ways of being, in anthropology and in the world, that encourage possibilities for healing? What would it mean to think our conceptual and sensorial practices as crucial to the ways in which we heal and disease? While the course design introduces students to anthropology and its methods, it pierces its confines and shifts the canon, or the story of anthropology, from its roots in colonializations or whiteness (and its myriad burdens) to the intimacies and desires of queer, sub-altern, black, and indigenous life-worlds. What are the ways in which disease is written into contemporary ways of being and how do we refuse to partake in it? How do we articulate stories that can not only bear lives on the margin but bear health? How can we story self and world differently? And how then, can we collectively live in more joyful and healing ways?",,"CHDV 30409, ANTH 30401, CHDV 20401, HLTH 20401",,Nida Paracha
ANTH 20511,The Archaeology of Egypt I. 100 Units.,"This course provides an overview of the archaeology of Egypt, focusing on data from the Paleolithic Period to the Second Intermediate Period, around 1,600 BCE. It introduces fundamental methods and approaches to the archaeological record, surveying significant sites, objects, art, and architecture to understand various aspects of culture, society, and history. While Egypt is well-known for its pyramids, temples and tombs, we will not only examine such constructions, but also explore how material culture can offer us insights on such themes as power and inequality, human-environment relations, urbanism, identity, cross-cultural interactions, collapse, and transformation. We will also consider the origins and legacies of Egyptology while engaging with diverse perspectives on the past, and how Egypt's rich cultural heritage continues to be valued, used, and contested.",Autumn,"ANTH 30511, NEAA 30511, NEAA 20511",,Anna-Latifa Mourad-Cizek
ANTH 20513,The Archeology of Egypt II. 100 Units.,"This course provides an overview of the archaeology of Egypt, focusing on data from the late Second Intermediate Period, around 1,600 BCE, to the Graeco-Roman Period. It introduces fundamental methods and approaches to the archaeological record, surveying significant sites, objects, art, and architecture to understand various aspects of culture, society, and history. We will consider how material culture can offer us insights on such themes as social organization, agency and identity, ritual practice, cross-cultural interactions, and climate change. We will also consider the origins and legacies of Egyptology while engaging with diverse perspectives on the past, and how Egypt's rich cultural heritage continues to be valued, used, and contested.",,"NEAA 30513, NEAA 20513, ANTH 30513",,
ANTH 20537,The Global Black Panther Party. 100 Units.,"In America, the Black Panther Party and its leaders, like Fred Hampton in Chicago, are famous for their revolutionary fight against white supremacy and their violent suppression by US government forces. But what does a Global Studies approach teach us about the Black Panthers? This seminar explores how the Black Panther Party's worldwide networks impacted global understandings of politics, race, and religion. Our readings examine a series of comparative case studies, including the Dalit Panther Party in India, the Mizrahi Black Panther Party in Israel, and the Polynesian Panthers in New Zealand. We analyze primary sources, such as the various Panther Parties' publications, their mainstream press coverage, and their pop cultural representations, like Ta-Nehisi Coates' Black Panther graphic novel and the film Black Panther: Wakanda Forever. In this course, students learn the global Black Panther Parties' roles in reshaping worldwide conceptions of race, caste, and religion through their encounters with the Nation of Islam, Hindu Nationalism, Zionism, and Indigenous rights. No prior knowledge or coursework is required.",Spring,"RLST 26674, GLST 26674, RDIN 26674",,Andrew Kunze
ANTH 20576,Social Theory for the Digital Age. 100 Units.,"Society rearranges itself, though we don't always know where it is heading. When the postmodern moment had arrived in the 1980s it perplexed social theorists, hence its characterization as simply a ""post""-stage of modernity. Digitization is one answer to the question of direction of change in the last decades. In this class, we take the ongoing transformations that we attribute to digital media as a starting point to ask what challenges they provide to social theory that may force us to reconsider some of our most basic concepts and premises. We will understand the term digital age broadly to refer to the rise of algorithms, sensors, (big) data, machine learning, and computational methods, all developments that swirl in and around the Artificial Intelligence scene and intersect with and replace purely human relations. The class gives particular attention to concepts such as action and interaction, embodiment, social situations, subjectivity and autonomy, as wells as society as communication.",Spring,"HIPS 20576, CHSS 30576, SOCI 20576, SOCI 30576, ANTH 30576",,K. Knorr
ANTH 20700,"Global Health, Environment, and Indigenous Futures. 100 Units.","The global coronavirus pandemic has made evident the significance of ecological (im)balances for the well-being of societies. The relationship between structural inequalities, changing environments and health, especially for historically and socio-economically marginalized communities, is now well established. At the same time, a growing body of literature links the material conditions of marginalized communities-for instance, spaces of dwelling and conditions of labor-to health status, globally. Based on a set of interdisciplinary literature arranged through anthropological theories, this course will critically engage with notions of health and well-being for indigenous communities, tracing injustices that stem histories of racial, caste- and ethnicity-based, and environmental exclusions. The readings are organized around one central question: What does it mean to be indigenous in a changing planet where social, political, and economic systems are marked by enduring legacies of systemic violence? This graduate and undergraduate level course will introduce contexts within which structural exclusions lead to ill-health and loss of well-being among indigenous communities across the globe. The aim is to develop critical thinking on the political economy and political ecologies of indigenous health as imbricated with issues of social, economic, and environmental justice.",,"CHDV 30750, RDIN 20700, CEGU 30700, CEGU 20700, ANTH 30700, RDIN 30700, SALC 26501, CHDV 20700, SALC 32704",,Sanghamitra Das
ANTH 20701-20702-20703,Introduction to African Civilization I-II-III.,Completion of the general education requirement in social sciences recommended. Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies. African Civilization introduces students to African history and cultures in a three-quarter sequence.,,,,
ANTH 20701,Introduction to African Civilization I. 100 Units.,"Part one considers literary, oral, linguistic, and material sources to investigate African societies and states from the early Iron Age through the emergence of the Atlantic World. Case studies include: the empires of Ghana and Mali, the Swahili Coast, Great Zimbabwe, Nok of Nigeria, and medieval Ethiopia. We also consider religious and spiritual transformation, including Islam in Africa, as well as the origins and effects of European contact, and the emergence of the transatlantic trade in enslaved human beings. Students examine these times and places through primary sources (such as cultural artifacts, visual representations, myths, and memoirs) which illuminate African perspectives on these different places and times. Assignments: oral presentations, document analyses, essays, and team projects.",Autumn,"CRES 20701, HIST 10101, SOSC 20101, MDVL 10101",,Staff
ANTH 20702,Introduction to African Civilization II. 100 Units.,"This course examines the transformations of African societies in the long nineteenth century. At the beginning of the era, European economic and political presence was mainly coastal, but by the end, nearly the entire continent was colonized. This course examines how and why this process occurred, highlighting the struggles of African societies to manage internal reforms and external political, military, and economic pressures. Students examine these processes through various primary sources (such as visual and material sources, cultural artifacts, and personal accounts) that highlight African perspectives on these processes.",Winter,"SOSC 20202, CRES 20802, HIST 10102",,Staff
ANTH 20703,Introduction to African Civilization III. 100 Units.,"African Civilization III examines Africa and the African diaspora in the modern era. Topics may include the end of colonialism and decolonization, the legacies of slavery and its racial logics, identity and cultural expression, theories of personhood, gender and sexuality, migration, governance, and language. Readings vary widely, including primary sources by African and diasporic authors, social theory, and works of art and literature - written, spoken, and performed.",Spring,"CRES 20303, HIST 10103, SOSC 20203",This sequence meets the general education requirement in civilization studies.,S. Fury Childs Daly and A. Olugbuyiro
ANTH 21107,Anthropological Theory. 100 Units.,"Since its inception as an academically institutionalized discipline, anthropology has always addressed the relation between a self-consciously modernizing ""West"" and its various and changing ""others."" Yet it has not always done so with sufficient critical attention to its own concepts and categories - a fact that has led, since at least the 1980s, to considerable debate about the nature of the anthropological enterprise and its epistemological foundations. This course provides a brief critical introduction to the history of anthropological thought over the course of the discipline's ""long"" twentieth century, from the 1880s to the present. Although it centers on the North American and British traditions, we will review important strains of French and, to a lesser extent, German social theory in chronicling the emergence and transformation of ""modern"" anthropology as an empirically based, but theoretically informed practice of knowledge production about human sociality and culture.",,"CCCT 21107, RLST 27707",Preference for Anthropology majors,Stephan Palmie
ANTH 21108,Anthropological Archaeology. 100 Units.,"Archaeology is but ethnology in the past tense,"" wrote the prehistorian André Leroi-Gourhan in 1946. He expressed an idea shared by many, namely that archaeology and anthropology share a single set of aims: to investigate the workings of human society and culture, to examine particulars and illuminate universals. In this course, we will become acquainted with archaeology as a discipline of anthropology. Through readings, analysis of case studies, excursions, and practical exercises, we will learn the fundamentals of archaeological theory and method while exploring how archaeologists use them to examine anthropological questions. How do we study the development and structure of the social, political, and economic systems of the past? What can archaeology tell us about the formation of identities-self-same and other? How can the analysis of material remains shed light on the operations of culture, power, and agency? We will also look closely at ""anthropological archaeology"" as a historical object, from its early investments in ideas of primitive culture to contemporary issues of heritage, patrimony, and repatriation, archaeology's material, economic, and environmental impacts, and the potential of archaeologists to pursue restorative ways of engaging the past and the present.",,HIST 25509,,Daniel Hansen
ANTH 21201,Chicago Blues. 100 Units.,"This course is an anthropological and historical exploration of one of the most original and influential American musical genres in its social and cultural context. We examine transformations in the cultural meaning of the blues and its place within broader American cultural currents, the social and economic situation of blues musicians, and the political economy of blues within the wider music industry.",Autumn,CHST 21201,,Michael Dietler
ANTH 21211,Methods of Athropological Archaeology. 100 Units.,"How do you practice archaeology? This course aims to explore the many answers to that question, with an emphasis on practical experience. We will study how anthropological and archaeological theory are implemented through a global survey of case studies, exercises, and readings. Along with the main question, we'll also ask: What does archaeological theory do? How do people ""make"" theory from artifacts? What makes it ""anthropological""? Why should I care? How can I use it in my everyday life? Smuggled into those deceptively straightforward questions are critical questions of how archaeology is implicated in the project of modernity, seemingly stabilizing questions of place, time, and type; and how destabilizing these concepts can provide useful in our epistemologies and our practices both within the discipline of archaeology and outside of Haskell Hall. It is helpful if students have taken Anthropological Archaeology, but participation in Anthropological Archaeology is not required.",,,,Kelsey Rooney
ANTH 21303,Making the Natural World: Foundations of Human Ecology. 100 Units.,"What's natural about nature? Humans have ""made"" the natural world both materially, through millennia of direct action in and on the landscape, and conceptually, through the creation of various ideas about nature, ecosystem, organism, and ecology. In this course we will consider how the conceptual underpinnings of contemporary Western notions of nature, environment, balance, power and race are intertwined. We will trace this trajectory using the lens of the historical development of the field of ecology, then broaden our view to consider worldviews and ontologies about the environment from non-Western cultures. How then do these worldviews influence attitudes and policies towards land, environment, and its stewardship? Taking examples from current environmental topics (e.g. land rights, environmental justice, park access, conservation, extinction) we will evaluate the extent and character of human entanglement with the environment. Throughout the course student voices will be prominent in the many discussion-based class sessions.",Winter. Winter,"ENST 21301, CEGU 21301",,Christopher Kindell
ANTH 21306,Explorations in Oral Narrative. 100 Units.,"A study of storytelling in non-literate and folk societies, antecedent to the complexities of modern narrativity, itself anchored in and energized by literacy. The main objects of our study will be the vast body of folktales and collateral folklore collected by anthropologists and folklorists in traditional societies. Despite the impact of literacy on modern minds this course argues for the persistence of ancient themes, plots, characters and motifs.. A further argument is made for the foundational role of storytelling in the creation of culture and construction of society …an argument, in short, that humans are, by nature, story-telling creatures whose sapience lies primarily in the capacity to create, be entertained by, and even live by, fictions The central place of storytelling is shown in the humanistic and social sciences: anthropology, economics, history, philosophy, politics, psychoanalysis. Student story-telling and even performance, of brief stories is encouraged and reflected upon in light of the main arguments of the course.",,ANTH 45301,,James Fernandez
ANTH 21403,Hidden in Plain Sight: Multi-Modal Inquiry into Technical and Speculative Worlds. 100 Units.,"How do people encounter phenomena that defy perception yet saturate their lives? What techniques are social scientists developing to investigate technology, the environment, and the virtual as they interrupt, exceed, or expand the human? Whether because of their monumentality (e.g., mass culture, infrastructure, disaster) or their latency (e.g., design, prognosis, information), these domains exhibit a ""suprasensible"" quality that can exceed bounded description. And yet, we are in constant contact with them. In response, scholars have devised ""multi-modal methods"" to broaden the social sciences' sensory, descriptive, and relational repertoires. This set of methods explores the analytic and ethical potential of non-linguistic description (e.g., photography, film, drawing, sound recording) and embodiment (e.g., performance, dance, role play). It also questions the possibilities and limits of reflexivity and collaboration, by revisiting the researcher-researched relationship. This course is a research practicum. We will dedicate half the week to discussing the objects, aims, and relevance of ""multi-modality"" to investigating technical and speculative worlds. In the second half, students will develop and workshop their original research projects incorporating multi-modal methods (whether course-specific or as part of a year-long thesis project). The course is interdisciplinary in focus and intent and fulfills the MAPSS methods requirement.",Winter,"MAPS 21403, ANTH 31403, MAPS 31403",,"Bright, Damien"
ANTH 21405,"Neoliberalism, Self and Society. 100 Units.","Drawing on ethnography and cultural theory, this course examines the profound impact of neoliberal ideology on the everyday lives of individuals and communities across the globe. We will explore the ways neoliberalism, the idea that the mechanisms of free markets naturally precipitate economic growth and thus societal progress, shapes institutions, social norms, and, most importantly, individuals' understandings of themselves and others. Students will analyze the penetration of market logics into spheres of social life far beyond what used to be understood as ""the marketplace,"" such as education, politics and governance, healthcare, and the family. They will reflect on the effects of market logics on lived realities, both in material and ideological terms. As unfettered global markets produce growing inequality and insecurity, neoliberal tenets valorizing competition and productivity tell those who suffer from and witness such negative effects that they are unavoidable; the result of some people working harder and being better than others. This course will question neoliberalism's normative assumptions, drawing on ethnographic accounts of contemporary life in various regions and contexts across the globe. Students will end the course with an understanding of neoliberalism as an ideology and the ability to engage in discussions on neoliberalism that have emerged recently in the qualitative social sciences.",Winter,"ANTH 31405, MAPS 31405",,"Gross, Tori"
ANTH 21420,Ethnographic Methods. 100 Units.,"This course introduces students to the theory and practice of ethnographic methods. In the class, we will consider the ways ethnography works as both a mode of inquiry and a form of knowledge production. We will examine the kinds of questions anthropologists ask, as well as the relationship between research questions, methodological approaches, data analysis, and knowledge. We will examine the ways scholars marshal evidence to address their questions, and practically, how they arrive at that evidence. We will study different components of ethnographic fieldwork, such as participant observation, interviewing, photography, object analysis, archival work, digital methods, and qualitative surveys. In so doing, we will engage with the complexities surrounding ethnographic research, including how one negotiates access during fieldwork, the racialized and gendered subjectivities that inhere in fieldwork, the ethics of knowledge production, and the politics of representation. The class entails both critical engagement with scholarship, and practical exercises. The goal is to give students practical, theoretically grounded insights into fieldwork in order to help them understand how to develop and carry out a research project.",,,"Priority to Anthro Majors, Priority to Junior/Senior Standing",Kathryn Takabvirwa
ANTH 21424,Reading and Writing Ethnography. 100 Units.,"Ethnography -- as an activity, method, and analytical sensibility -- is an important part of defining and contesting what anthropology is and does. Critical perspectives on ethnographic research and writing have pointed out the authorization, exotification, and politics of mobility that undergird the 'where' in 'being there' as well as the designation of 'field' as the outside space for fieldwork. What's more, contemporary anthropologists are producing 'ethnography' that works against the term's very composition as ethnos (human classificatory grouping) and graphia (writing, inscription). Rather than theorize about what ethnography is or should be, we will consider and develop a practical understanding of ethnography by reading it and writing it. In this course, we will work with some contemporary ethnographies (and some ethnography adjacent works) that combine description and analysis in creative ways. Through regular exercises in observation and writing, we will explore together in class how ethnographic writing can develop conceptual and political arguments. A core objective of this course is to practice the reflective and intellectual work that goes into considering ethnographic research questions and composing the complicated texts that attempt to answer them. In simpler terms, this class is about writing and the deliberate and creative work that goes into it.",,,,Kamala Russell
ANTH 21426,More than Human Ethnography. 100 Units.,"In this course we explore the fields of more-than-human and 'multispecies' ethnography. We examine theoretical antecedents promoting the inclusion of non-human actors in ethnographic analysis and read examples of such work, including foundational texts on more-than-human engagements, exploitations, and dependencies by Deborah Bird Rose, Kim Tallbear, Eduardo Kohn, and Anna Tsing among others. We consider the role other species, 'actants' and assemblages played in early social science work and contemplate recent studies of ""becoming with"" animals, plants, fungi, bacteria-encountering complex symbioses, examining naturalcultural borders, and querying the role of decolonial thought and queer ecologies in the 'more-than' turn. Multispecies and posthumanist approaches encourage a decentering of traditional method; we couple ethnographic examples with literature by biologists, physicists, and philosophers. The is a discussion-based seminar with significant time devoted to logistical elements of 'more than' work-to querying how such studies are conducted in practice. The final paper takes the form of an exploratory essay based on observations collected during previous weeks.",Winter,"ANTH 33807, GNSE 21404, KNOW 32404, GNSE 31404, MAPS 31404",,"Wilhoit, Mary"
ANTH 21545,"Global China: Mobility, Infrastructure, and Networks. 100 Units.","This course is designed to explore the notion of ""global China"" and investigate its role and impact in global society. China's increasing presence concerns not only its economic power and massive investments in the Global South, but also its growing cultural and social influence-its so-called soft power in the world. The reading materials are drawn from anthropology, history, and social theory. By combining theoretical discussion with ethnographic studies on diaspora, Chinese capital, soft power, race, and racism in global Chinese contexts, the course will offer useful frameworks and perspectives for raising critical inquiries and tackling cutting-edge issues related to contemporary China. By the end of the course, the students will develop their own research subject on a topic that is related to global China; write a thorough literature review on their chosen topic; and present their research to the class.",,"MAPS 21545, MAPS 31545, ANTH 31545",,
ANTH 21740,Ecology and Governance in Israel. 100 Units.,"Ecological governance has emerged as an aspirational concept in recent years in political science, philosophy, and anthropology in response to concerns over the increasing likelihood of an unprecedented global ecological crisis as a result of human driven climate change. This course will trace the conceptual genealogy of ecological governance in Western and Eastern political theory and environmental history as it explores the political ecologies of Israel and the Middle East. In so doing, the course embarks from the assertion that environmental justice and the struggle for justice overall are inseparable challenges. Of central concern will be to understand how Israel's politics, culture, and history technological development together with its particular environmental conditions provide conceptual and methodological interventions into current and historical articulations of ecological governance. Note: Enrollment in this class is by consent only. Please request via the enrollment site.",,CEGU 21740,,Michael Fisch
